mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_gray,std_gray,entropy,mean_h,mean_s,mean_v,std_h,std_s,std_v,Soil Type
0.4678012025122549,0.3338120404411765,0.2145862055759804,0.15414681901895066,0.11997090492317801,0.07014924378945792,0.3603036917892157,0.12399769475383504,6.9427728651072265,0.07876263786764705,0.5303624770220587,0.46780407475490193,0.07494743699818315,0.06544629009281358,0.15413923479399808,Alluvial
0.6058909696691177,0.4340312882965686,0.2262072993259804,0.1313168640132401,0.12866821655457003,0.10001586247343036,0.46177140778186276,0.12538490348103568,6.786321844128576,0.08876761642156862,0.6384143305759803,0.6058909696691177,0.007860477763191745,0.08441337044763986,0.1313168640132401,Alluvial
0.7898159849877452,0.5803059895833332,0.3885837928921569,0.09790990862268223,0.08053885818388806,0.06067116102285643,0.6210870481004901,0.08239483403886834,6.350524487390025,0.0775304457720588,0.5064711626838235,0.7898159849877452,0.003607824257015054,0.04091507193068955,0.09790990862268223,Alluvial
0.6810489430147059,0.5875890395220589,0.42328431372549025,0.0816046989946174,0.08382885411014641,0.07323316547422251,0.5968232996323528,0.08143048599628747,6.352857592450934,0.10400677849264707,0.37976696537990196,0.6810489430147059,0.007375900165692818,0.04646025898107994,0.0816046989946174,Alluvial
0.7033653109681373,0.6178682215073529,0.47285826439950984,0.10693751297743642,0.09891192023811429,0.08495128024630698,0.6269339767156863,0.09912774245570707,6.520010528094961,0.10278799019607845,0.3276482077205882,0.7035089231004902,0.008363858363105464,0.04507945487580735,0.10672261862883015,Alluvial
0.7101227405024509,0.6166159237132351,0.43846794577205883,0.05827981998589362,0.06456335539875442,0.061749570310221685,0.6242685355392157,0.06159629038819546,5.896642180359104,0.10760378370098041,0.3826861213235294,0.7101323146446078,0.006898960491156593,0.050004746806834977,0.05827499931691742,Alluvial
0.6904919194240196,0.624630438112745,0.4835918351715687,0.06580048445337557,0.0676087826190678,0.06612905669566307,0.628344247855392,0.06663254240007213,6.037852824754825,0.1116507735906863,0.3001148897058823,0.6904919194240196,0.005289712675228392,0.0354497524011062,0.06580048445337557,Alluvial
0.6471708409926471,0.4842428768382353,0.27254231770833337,0.15016943117941167,0.13773354947813155,0.10501514282373502,0.5088110830269608,0.13634216578395475,7.027116696916915,0.0920678232230392,0.5849925321691176,0.6471708409926471,0.008567896285650644,0.08514622355179141,0.15016943117941167,Alluvial
0.6963369332107843,0.5454379212622549,0.41556851256127453,0.12079194112520192,0.09397796502311019,0.07664202622066825,0.5757439108455882,0.09768868007707941,6.601587472298573,0.07562136182598038,0.3974417892156863,0.6963369332107843,0.015181236541134365,0.07680331304234503,0.12079194112520192,Alluvial
0.6202244178921568,0.5222024356617647,0.3564491421568627,0.052316474520701345,0.05447145414842798,0.045266331574432175,0.5327885646446078,0.05245477257410687,5.701255479763212,0.10171855851715687,0.42505935968137265,0.6202244178921568,0.006779456956924865,0.03226826234042247,0.052316474520701345,Alluvial
